month,year,meme_id,image_path,related,event,meme,history,creator,tags,event_ua,meme_ua,history_ua,tags_ua
march,2022,ghost-of-ukraine,images/ghost-of-ukraine.jpg,sleep-well-little-tank;ukrainian-farmers;tractor-and-tank;heading-to-ukraine,,Ghost of Ukraine,"Here, a famous Ukrainian tractor, capturing Russian tanks, is compared to famous Ukrainian 'Ghost of Kyiv' - a collective image of Ukrainian pilots who heroically defended Kyiv's air space in the first days of the war",,tractor,,Привид України,"Тут відомий український тягач, який захоплював російські танки, порівнюється зі знаменитим українським «Привидом Києва» – збірним образом українських льотчиків, які героїчно захищали повітряний простір Києва в перші дні війни.",трактор
march,2022,have-they-surrendered,images/have-they-surrendered.jpg,russian-revolution;putin-hague-2;dogs;ride-not-ammunition;can-putin-outlast-a-watermelon;putin-hague;pager;putin-in-mariupol,Russia's idea of capturing Ukraine in several days or weeks miserably failed,Have they surrendered?,"Old versions of Putin, Gerasimov (Russian general), and Shoigu (Russian Minister of Defense) imply that many years have passed since the start of the war, and Ukraine still didn't surrender.",,putin;Shoigu,Ідея Росії захопити Україну за кілька днів чи тижнів з тріском провалилася,Вони здалися?,"Старі версії Путіна, Герасимова (російський генерал) і Шойгу (російський міністр оборони) натякають на те, що минуло багато років з початку війни, а Україна все ще не здалася.",Путін;Шойгу
march,2022,heading-to-ukraine,images/heading-to-ukraine.jpg,tractor-and-tank;ghost-of-ukraine;ukrainian-farmers;sleep-well-little-tank,,Heading to Ukraine,These army of thanks is obviously heading to Ukraine to hunt Russian tanks,,tractor,,Прямуємо в Україну,Ця армія подяки явно прямує в Україну полювати на російські танки,трактор
march,2022,how-it-started,images/how-it-started.jpg,250-000;500000;cabinet-and-ceramic-rooster-from-borodianka;borodianka-cat;700000;russian-mobilization,Russian army was unable to capture Kyiv,How it started,This meme compares Russian tanks as they are shown on official parades at the Red square and reality when these tanks were left destroyed by Ukrainian army in Kyiv region,,Kyiv region;dead russian,Російська армія не змогла здобути Київ,Як це почалося,"Цей мем порівнює російські танки, як їх показують на офіційних парадах на Червоній площі, і реальність, коли ці танки залишилися знищеними українською армією на Київщині",Київська обл;мертвий росіянин
march,2022,sleep-well-little-tank,images/sleep-well-little-tank.jpg,tractor-and-tank;scale-of-ukrainian-heroism;russian-tanks;heading-to-ukraine;day-160;leopards-2;leopards;every-morning,Ukrainian farmers joined the fight against Russian army,"Sleep well, little tank","Photos and videos of Ukrainian farmers hauling away Russian tanks have been wildly popular since the war began. Here, a small Russian tank is being rightfully afraid of a Ukrainian tractor.",,tractor;tank;resilience,Українські хлібороби вступили в боротьбу проти російської армії,"Спи спокійно, маленький танк","Фото та відео українських фермерів, які вивозять російські танки, користуються шаленою популярністю з початку війни. Тут невеликий російський танк справедливо боїться українського тягача.",трактор;танк;стійкість
march,2022,russian-army,images/russian-army.jpg,russian-soldiers-lifecycle;kyiv-in-3-days;goodwill-gesture;may-9,Russian army showed its weakness,Russian army,"It turned out that Russian army was not as strong as it strived to look like. In fact, it was unprepared for the modern war.",,Russian army,Російська армія показала свою слабкість,російська армія,"Виявилося, що російська армія виявилася не такою сильною, як її намагалися показати. Насправді воно виявилося неготовим до сучасної війни.",російська армія
march,2022,zelenskyi,images/zelenskyi.jpeg,2023;biden-in-kyiv-3;macron,,Zelenskyi,People started comparing two presidents: Russian Vladimir Putin and Ukrainian Volodymyr Zelenskyi. Internet clearly preferred the latter one.,,Zelenskyi;Zelenskiy,,Zelenskyi,Люди почали порівнювати двох президентів: російського Володимира Путіна та українського Володимира Зеленського. Інтернет явно віддав перевагу останньому.,Zelenskyi;Zelenskiy
march,2022,kyiv-in-3-days,images/kyiv-in-3-days.jpeg,ghost-of-kyiv;russian-soldiers-lifecycle;cabinet-and-ceramic-rooster-from-borodianka;russian-army;king-of-kyiv;attacks-on-kyiv;may-9;shelling-of-kyiv,Russia planned to capture Kyiv in 3 days. But it couldn't,Kyiv in 3 days,"Despite Russian plans, Kyiv withstood the attacks.",,Russian army;Kyiv,Росія планувала захопити Київ за 3 дні. Але це не могло,Київ за 3 дні,"Незважаючи на російські плани, Київ витримав атаки.",російська армія;Київ
march,2022,capture-ukraine-in-2-weeks,images/capture-ukraine-in-2-weeks.jpg,yoda-insignia;bridge-or-boat,"Russians planned to capture Kyiv in 3 days, and Ukraine in 2 weeks. Apparently, something went wrong.",Capture Ukraine in 2 weeks,,,Ukrainian army,"Росіяни планували захопити Київ за 3 дні, а Україну – за 2 тижні. Мабуть, щось пішло не так.",Захопити Україну за 2 тижні,,українська армія
march,2022,ukrainian-farmers,images/ukrainian-farmers.jpg,sleep-well-little-tank;tractor-and-tank;heading-to-ukraine;ghost-of-ukraine,,Ukrainian farmers,It has become apparent that Russian army is unable to take Ukraine quickly and easy,,tractor;farmers,,Українські фермери,"Стало очевидним, що російська армія не в змозі швидко і легко взяти Україну",трактор;фермери
march,2022,tractor-and-tank,images/tractor-and-tank.jpg,leopards-2;ghost-of-ukraine;german-tanks;russian-tanks;heading-to-ukraine;sleep-well-little-tank;leopards;ukrainian-farmers,Ukrainian farmers joined the fight against Russian army,Tractor and tank,Some Russian tanks that managed to get deep into the country ran out of gas soon and often were just abandoned by the soldiers. Ukrainians used their tractors to tow those vehicles away.  A lot of memes appeared with Ukrainian tractors towing everything from Russian submarines to Kremlin towers.,,tractor;resistance;tank,Українські хлібороби вступили в боротьбу проти російської армії,Трактор і танк,"У деяких російських танків, які зуміли проникнути в глиб країни, незабаром закінчився бензин, і часто їх просто покидали солдати. Українці відбуксирували ці машини своїми тракторами. З&#39;явилося чимало мемів з українськими тягачами, які буксирують все: від російських підводних човнів до веж Кремля.",трактор;опір;танк
march,2022,ukrainian-resilience,images/ukrainian-resilience.jpg,,"Contrary to expectations from Western experts and politicians, Ukraine did not succumb to the Russian invasion",Ukrainian resilience,Ukrainian people showed that they are extremely resilient and will resist Russian invasion. Memes about Ukrainian courage became popular.,,,"Всупереч очікуванням західних експертів і політиків, Україна не піддалася російському вторгненню",Українська стійкість,"Український народ показав, що він надзвичайно витривалий і протистоятиме російському вторгненню. Стали популярними меми про українську мужність.",
april,,air-raid-alert,images/air-raid-alert.png,,Russia is constantly attacking Ukraine with missiles,Air raid alert,"The text says: ""The position I was caught in when an air raid alert began""",the_mysteztvo / Instagram,air raid alert,Росія постійно ракетно атакує Україну,Повітряна тривога,"У тексті сказано: «Позиція, в якій я опинився, коли почалася тривога про повітряний наліт»",повітряна тривога
april,,moskva,images/moskva.jpg,found-the-moskva;moskva-for-rent;love-is;russian-warship-go-fck-yourself,The Armed Forces of Ukraine sank Russian warship Moskva,Moskva,"The Russian warship Moskva, the flagship of the Russian Navy's Black Sea Fleet, sank on 14 April 2022.  According to Russian officials, the ship was damaged in a storm. However, the reality turned out to be different. Being the very same Russian warship that ought to have gone and f*ucked itself, this event has become a material for numerous memes.",,russian warship;Moskva,Збройні сили України потопили російський військовий корабель &quot;Москва&quot;.,Москва,"14 квітня 2022 року затонув російський військовий корабель «Москва», який є флагманом Чорноморського флоту ВМС РФ. За даними російських чиновників, корабель отримав пошкодження під час шторму. Однак реальність виявилася іншою. Будучи тим самим російським військовим кораблем, який повинен був піти і розбити себе, ця подія стала матеріалом для численних мемів.",російський військовий корабель;Москва
april,,russian-military-traditions,images/russian-military-traditions.jpg,,"When Russian forces retreated from Kyiv region, they stole everything: from TVs to toilets and washing machines",Russian military traditions,This meme shows the history of an old Russian army's tradition to steal everything they see,,Russians steal,"Коли російські війська відступали з Київщини, вони вкрали все: від телевізорів до туалетів і пральних машин",Російські військові традиції,"Цей мем показує історію давньоруської армійської традиції красти все, що побачить",Росіяни крадуть
april,,moskva-for-rent,images/moskva-for-rent.jpg,found-the-moskva;love-is;moskva;russian-warship-go-fck-yourself,The Armed Forces of Ukraine sank Russian warship Moskva,Moskva for rent,"This meme depicts Moskva ship as a rental apartment for fish. The ship is named after Russia'n's capital Moscow, that's why the prices for rent are high there. Fish 1: The rent is 1000 dollars + communal tariffs Fish 2: Looks expensive Fish 1: What else did you expect? …It's Moscow!",,russian warship;Moskva,Збройні сили України потопили російський військовий корабель &quot;Москва&quot;.,Москва занадто чиста,"Цей мем зображує корабель «Москва» як орендну квартиру для риби. Корабель названий на честь столиці Росії Москви, тому ціни на оренду там високі. Риба 1: Оренда 1000 доларів + комуналка Риба 2: Виглядає дорого Риба 1: Чого ви ще очікували? …Це Москва!",російський військовий корабель;Москва
april,,medvedchuk-everywhere,images/medvedchuk-everywhere.jpg,medvedchuk;exchange-of-medvedchuk,Putin's close ally and Ukrainian politician Viktor Medvedchuk was detained by Security Service of Ukraine,Medvedchuk everywhere,For several days everyone posted only Medvedchuk on social media. The text says: When you accidentally got on a social network,,Medvedchuk,Співробітники Служби безпеки України затримали близького соратника Путіна та українського політика Віктора Медведчука,Medvedchuk everywhere,Кілька днів у соцмережах усі писали лише Медведчука. У тексті сказано: Коли ти випадково потрапив у соціальну мережу,Medvedchuk
april,,medvedchuk,images/medvedchuk.jpg,exchange-of-medvedchuk;medvedchuk-everywhere,Putin's close ally and Ukrainian politician Viktor Medvedchuk was detained by Security Service of Ukraine,Medvedchuk,"The handcuffed photo of Medvedchuk was posted by the officials and has become a basis for memes. For example, Medvedchuk was compared with a badly stuffed fox known on the internet as a crack addict",,Medvedchuk,Співробітники Служби безпеки України затримали близького соратника Путіна та українського політика Віктора Медведчука,Medvedchuk,"Фото Медведчука в наручниках було викладене чиновниками і стало основою для мемів. Наприклад, Медведчука порівняли з погано набитою лисицею, відомою в мережі як крекоман.",Medvedchuk
april,,russian-troops-in-chornobyl,images/russian-troops-in-chornobyl.webp,,It turned out that Russian soldiers dug trenches in Chornobyl zone,Russian troops in Chornobyl,Russian soldiers spent a lot of time in Chornobyl zone (near Kyiv region). They were exposed to serious radiation which is still abundant there. This fact caused some concerns for their health.,,Chornobyl;Chernobyl;Russian army,"Виявилося, що російські військові копали окопи в Чорнобильській зоні",Російські війська в Чорнобилі,"Російські солдати багато часу провели в Чорнобильській зоні (поблизу Київської області). Вони зазнали серйозного опромінення, якого там досі багато. Цей факт викликав певні побоювання за їх здоров&#39;я.",Chornobyl;Чорнобиль;російська армія
april,,borodianka-cat,images/borodianka-cat.webp,king-of-kyiv;kyiv-in-3-days;biden-in-kyiv-2;shelling-of-kyiv;kyiv-is-angry;kyiv-air-defense;orlando-bloom-vs-putin;how-it-started,"After Kyiv region was liberated, Ukrainian rescuers saved a cat from top floors of a ruined house",Borodianka cat,"A cat was found at the top floors of ruined house in liberated Borodianka, Kyiv region. She spent 2 months there without food and water. The cat has been saved and returned to her rightful owners.  Internet remembers her a in numerous memes for her resilience and angry face expression",,Kyiv;Kyiv region;cats,Після звільнення Київської області українські рятувальники врятували кота з верхніх поверхів зруйнованого будинку,Бородянка кіт,У звільненій Бородянці Київської області на верхніх поверхах зруйнованого будинку знайшли кота. Там вона провела 2 місяці без їжі та води. Кота врятовано та повернуто законним господарям. Мережа запам&#39;ятала її в численних мемах за стійкість і сердитий вираз обличчя,Київ;Київська обл;коти
april,,cabinet-and-ceramic-rooster-from-borodianka,images/cabinet-and-ceramic-rooster-from-borodianka.jpg,orlando-bloom;kyiv-is-angry;biden-in-kyiv-2;how-it-started;biden-in-kyiv-4;meteor-in-kyiv;attacks-on-kyiv;kyiv-in-3-days,"In Borodianka, Kyiv region, Russia bombed a residential house. Only kitchen cabinet survived",Cabinet and ceramic rooster from Borodianka,In the ruined house in liberated Borodianka village an intact kitchen cabinet and traditional ceramic rooster were found. These items emphasized Ukrainian resilience and became memes.,,Borodianka;Kyiv;Kyiv region,У Бородянці Київської області Росія розбомбила житловий будинок. Збереглася лише кухонна шафа,Шафа та керамічний півник з Бородянки,У звільненому селі Бородянка у зруйнованому будинку виявили недоторкану кухонну шафу та традиційного керамічного півника. Ці предмети підкреслили українську стійкість і стали мемами.,Бородянка;Київ;Київська обл
april,,goodwill-gesture,images/goodwill-gesture.jpg,russian-soldiers-lifecycle;kyiv-in-3-days;may-9;russian-army,Russian army couldn't hold its positions and retreated from Zmiinii Island,Goodwill gesture,Official Kremlin speakers named Russian retreat from Zmiinii Island a “goodwill gesture”,,goodwill gesture;Russian army,Російська армія не змогла втримати позицій і відступила з острова Зміїний,Жест доброї волі,Офіційні спікери Кремля назвали відступ Росії з острова Зміїний «жестом доброї волі»,жест доброї волі;російська армія
may,2022,may-9,images/may-9.jpg,goodwill-gesture;kyiv-in-3-days;russian-soldiers-lifecycle;russian-army;may-9-parade-in-moscow,"Russia celebrates Victory Day, on May 9th 2022",May 9,"Traditionally, Victory Day is the biggest propaganda holidays in Russia. Especially in 2022, when it was meant to show the Real Victory over Ukraine. However, the reality was less than pleasant.",,Russian army;May 9;Victory day,Росія святкує День Перемоги 9 травня 2022 року,9 травня,"Традиційно День Перемоги є найбільшим святом пропаганди в Росії. Особливо у 2022 році, коли було покликано показати Справжню Перемогу над Україною. Однак реальність виявилася не дуже приємною.",російська армія;9 травня;день перемоги
may,2022,belgorod,images/belgorod.jpg,,Russia reports shelling in Russian city of Belgorod,Belgorod,"Despite the fact that Russian officials claim to have destroyed most of Ukrainian army, Russian border towns are being shelled.",,Belgorod,Росія повідомляє про обстріл російського міста Бєлгород,Білгород,"Попри те, що російські чиновники заявляють про знищення більшої частини української армії, російські прикордонні міста обстрілюють.",Білгород
may,2022,2022,images/2022.jpg,,Russia was wrong thinking that Ukraine will be an easy target,2022,,,,"Росія помилялася, вважаючи, що Україна стане легкою мішенню",2022 рік,,
may,2022,russian-soldiers-lifecycle,images/russian-soldiers-lifecycle.jpg,lada-cars;goodwill-gesture;50000-kia-russians;may-9;russian-army;fleeing-russians;kyiv-in-3-days,Russian army suffers significant losses,Russian soldier’s lifecycle,,,dead russian;Russian army,Російська армія зазнає значних втрат,Життєвий цикл російського солдата,,мертвий росіянин;російська армія
may,2022,european-charles-michel-and-ukrainian-denys-shmygal,images/european-charles-michel-and-ukrainian-denys-shmygal.jpg,iphone;aircraft_ramstein,European Council President Charles Michel visited Kyiv,European Charles Michel and Ukrainian Denys Shmygal,"People noticed that Charles Michel looks very much alike Ukrainian PM Denys Shmygal. Later, Internet users paid attention that Ukrainian MoD Oleksiy Reznikov looks similar to them as well. And also Heisenberg from  Breaking Bad",,Charles Michel;Reznikov;Shmygal;Breaking Bad,Президент Європейської Ради Шарль Мішель відвідав Київ,Європеєць Шарль Мішель та українець Денис Шмигаль,"Люди помітили, що Шарль Мішель дуже схожий на українського прем&#39;єр-міністра Дениса Шмигаля. Пізніше інтернет-користувачі звернули увагу, що український міністр оборони Олексій Резніков також схожий на них. А також Гейзенберг із Breaking Bad",Шарль Мішель;Резніков;Шмигаль;У всі тяжкі
may,2022,stefania,images/stefania.jpg,eurovision,Ukrainian band Kalush Orchestra won Eurovision 2022 song contest,Stefania,Everyone remembers frontman’s pink hat and a catchy tune of “Stefania” song,Nikita Titov,Eurovision;Stefania;Kalush orchestra,Український гурт Kalush Orchestra переміг на пісенному конкурсі Євробачення 2022,Стефанія,Всі пам&#39;ятають рожевий капелюх фронтмена і запам&#39;ятовується мелодію пісні «Стефанія».,Євробачення;Стефанія;Kalush orchestra
may,2022,bavovna-2,images/bavovna-2.webp,return-to-crimea;popcorn;bavovnyatko,Russia experienced war as well - explosions in Russian cities of Briansk and Belgorod,Bavovna,"Russian media use euphemisms for explosions in their country. They call explosions ""khlop O k"" (stress on the 2nd syllable) meaning ‘pop’, ‘clap’, ‘crack’, ‘bang’. However, when the first syllable is stressed, “khl O pok” means “cotton” in English (“Bavovna” in Ukrainian) When Russian bots and trolls put “khlopok” into Google translate in order to fake being Ukrainian they got “bavovna” instead. So it became obvious that they were Russian propaganda bots.",,bavovna,Росія теж пережила війну – вибухи в російських містах Брянську та Бєлгороді,Бавовна,"Російські ЗМІ використовують евфемізми для позначення вибухів у своїй країні. Вони називають вибухи «хлоп О к» (наголос на 2-й склад), що означає «хлоп», «хлопок», «тріск», «хлоп». Однак, коли перший склад наголошений, «хл О пок» англійською означає «бавовна» (українською «Бавовна»). Коли російські боти та тролі вставляли «хлопок» у Google translate, щоб видавати себе українцями, вони отримували «бавовна» замість цього. Тож стало очевидно, що це російські пропагандистські боти.",Бавовна
june,2022,macron,images/macron.jpg,biden-in-kyiv-3;zelenskyi;2023;macron-2,Emmanuel Macron visited Kyiv,Macron,"During their press-conference Zelenskiy and Macron hugged. This triggered a wave of memes with other Zelenskiy's political ""bromances""",,Zelenskyi;Zelenskiy;Macron,Еммануель Макрон відвідав Київ,Макрон,Під час прес-конференції Зеленський і Макрон обнялися. Це викликало хвилю мемів з іншими політичними &quot;броманами&quot; Зеленського,Zelenskyi;Zelenskiy;Макрон
june,2022,himars-training,images/himars-training.jpg,himars-infrastructure;smoking-kills;antonivskiy-bridge;just-do-it;waiting-for-himars;javelin;himars-oclock,US started trainings for Ukrainian military on how to use HIMARS,HIMARS training,"Ukraine is impatient for HIMARS. And Ukrainian soldiers are fast learners. The cat, representing Ukrainian military, is saying: ""America, get up, it's time to teach me how to shoot"" America is obviously tired, but has no other choice: ""Please, let me have some sleep""",,HIMARS,США розпочали тренінги для українських військових з використання HIMARS,Навчання HIMARS,"Україна не терпить HIMARS. А українські солдати швидко навчаються. Кіт, який представляє українських військових, каже: «Америко, вставай, пора вчити мене стріляти» Америка явно втомилася, але іншого виходу не має: «Будь ласка, дай мені поспати»",ХІМАРС
june,2022,waiting-for-himars,images/waiting-for-himars.jpg,javelin;smoking-kills;himars-training;just-do-it;himars-oclock;himars-infrastructure;antonivskiy-bridge,USA declared that they will send HIMARS rocket systems to Ukraine,Waiting for HIMARS,"Ukrainians are very excited of the new weapon. The meme shows that HIMARS is becoming the new black, showing a man labeled  ""Ukrainians""  who is not looking at  ""Bayraktar""  girl anymore. Instead he is looking at  ""HIMARS""  girl.",,HIMARS,"США заявили, що надішлють Україні ракетні комплекси HIMARS",В очікуванні HIMARS,"Українці в захваті від нової зброї. Мем показує, що HIMARS стає новим чорним, показуючи чоловіка з міткою «Українці», який більше не дивиться на дівчину «Байрактар». Замість цього він дивиться на дівчину &quot;HIMARS&quot;.",ХІМАРС
june,2022,february,images/february.jpg,war-and-peace;war;100-days-of-war,,February,"Many Ukrainians still are saying that the time has stopped for them on February 24, 2022.",,war;100 days,,Лютий,"Багато українців досі кажуть, що 24 лютого 2022 року час для них зупинився.",війни;100 днів
june,2022,100-days-of-war,images/100-days-of-war.jpg,war-and-peace;february;war,The war has been going on for 100 days,100 days of war,Memes depict that this time has flown by so quickly,,war;100 days,100 днів триває війна,100 днів війни,"Меми показують, що цей час пролетів так швидко",війни;100 днів
july,2022,borshch,images/borshch.jpg,,Ukrainian borshch was added to UNESCO endangered heritage list,Borshch,"Borshch is a Ukrainian traditional sour soup, made of beets. As it was widely consumed in times of the USSR all over the Union's territory, Russia claimed that the origins of borshch are unclear. UNESCO's decision proved that borshch is Ukrainian! As the dish is made of beets, it has a distinguishable red/purple color. This meme shows borshch as a Pantone color.",,borshcht;pantone,Український борщ внесли до списку культурної спадщини ЮНЕСКО,Borshch,"Борщ — український традиційний кислий суп із буряка. Оскільки за часів СРСР його вживали по всій території Союзу, Росія стверджувала, що походження борщу невідоме. Рішення ЮНЕСКО довело, що борщ український! Оскільки страва виготовлена з буряка, вона має помітний червоно-фіолетовий колір. Цей мем показує борщ як колір Pantone.",borshcht;pantone
july,2022,himars-infrastructure,images/himars-infrastructure.jpg,just-do-it;himars-oclock;smoking-kills;waiting-for-himars;himars-training;javelin;antonivskiy-bridge,HIMARS became a very effective tool in destruction of Russian military infrastructure,HIMARS-infrastructure,,@ukrainianmemeforces,HIMARS,ХІМАРС став дуже ефективним інструментом у знищенні російської військової інфраструктури,HIMARS-інфраструктура,,ХІМАРС
july,2022,antonivskiy-bridge,images/antonivskiy-bridge.png,himars-oclock;racoon;himars-infrastructure;crawfish;javelin;smoking-kills;just-do-it;can-putin-outlast-a-watermelon,Ukrainian Armed Forces are shelling key bridge in Kherson region almost daily,Antonivskiy bridge,Countless shellings of Antonivskiy bridge by Ukrainian forces have been very inspirational for Ukrainians. Meme compares the bridge with piece of cheese with numerous holes in it.,,kherson;bridge;HIMARS,Майже щодня ЗСУ обстрілюють ключовий міст на Херсонщині,Антонівський міст,Незліченні обстріли Антонівського мосту українськими силами дуже надихнули українців. Мем порівнює міст зі шматком сиру з численними дірками.,Херсон;міст;ХІМАРС
july,2022,lada-cars,images/lada-cars.jpg,50000-kia-russians;russian-soldiers-lifecycle;fleeing-russians,Relatives of KIA Russian soldiers get Lada cars as a compensation,LADA cars,Russian state TV highlighted a family who got a new car with money from their son's death. It showed happy parents with there new white  Lada .,,dead russian;Lada,Родичам російських військових КІА в якості компенсації дісталися автомобілі Lada,Автомобілі LADA,"Російське державне телебачення висвітлило родину, яка отримала нову машину на гроші від смерті сина. На ньому зображені щасливі батьки з новою білою Ладою.",мертвий росіянин;перець
july,2022,smiling-himars,images/smiling-himars.jpg,,The USA announced that they will send HIMARS rocket systems to Ukraine,Smiling HIMARS,Memee depicts HIMARS waiting in anticipation,,,"США заявили, що відправлять в Україну ракетні комплекси HIMARS",Усміхнений HIMARS,"Memee зображує HIMARS, який чекає в очікуванні",
july,2022,himars-oclock,images/himars-oclock.jpg,himars-training;antonivskiy-bridge;smoking-kills;javelin;himars-infrastructure;waiting-for-himars;just-do-it,Ukrainians successfully use HIMARS to strike enemy,HIMARS o’clock,A catchphrase used to celebrate High Mobility Artillery Rocket System (HIMARS) strikes by Ukraine on Russia,,HIMARS,Українці успішно використовують HIMARS для ударів по ворогу,ХІМАРС годинник,"Крилата фраза, яка використовується на честь ударів України по Росії з високомобільної артилерійської ракетної системи (HIMARS)",ХІМАРС
august,2022,just-do-it,images/just-do-it.jpg,antonivskiy-bridge;javelin;himars-oclock;smoking-kills;himars-training;waiting-for-himars;himars-infrastructure,HIMARS prove to be extremely effective,Just do it,,,HIMARS,HIMARS виявився надзвичайно ефективним,Просто зробіть це,,ХІМАРС
august,2022,day-160,images/day-160.jpg,scale-of-ukrainian-heroism;every-morning;sleep-well-little-tank,"As improbable as it may look like for Russia, Ukraine still stands on day 160",Day 160,,Ukrainian Meme Forces / Twitter,resilience,"Як би неймовірно це не виглядало для Росії, Україна все ще стоїть на 160-му дні",День 160,,стійкість
august,2022,javelin,images/javelin.jpg,just-do-it;smoking-kills;himars-training;waiting-for-himars;himars-oclock;himars-infrastructure;antonivskiy-bridge,,Javelin,"Javelin was the first weapon given to Ukraine by the US. In August 2022, more sophisticated weapons began to arrive: HIMARS, HARM, IRIS-T, Harpoon to name a few.",,HIMARS;javelin,,Метання списа,"Javelin був першою зброєю, переданою Україні США. У серпні 2022 року почала надходити більш складна зброя: HIMARS, HARM, IRIS-T, Harpoon, щоб назвати декілька.",ХІМАРС;метання списа
